transaction_id,account_id,merchant_id,amount,transaction_date,transaction_type,is_fraud
1,863,9,35.58,2024-01-27,payment,0
2,2231,80,15.38,2024-09-04,payment,0
3,5292,34,394.98,2024-09-12,payment,0
4,5423,82,166.97,2024-07-04,payment,0
5,5988,9,13.03,2023-10-18,transfer,0
6,5751,33,8.43,2024-01-03,withdrawal,0
7,1640,84,18.82,2023-06-26,withdrawal,0
8,1469,1,91.7,2024-01-23,transfer,0
9,2206,11,33.84,2024-10-17,withdrawal,0
10,4232,6,381.73,2023-01-04,transfer,0
11,6078,9,94.26,2023-09-26,payment,0
12,2649,50,64.06,2023-01-19,withdrawal,1
13,3358,53,11.59,2023-11-22,payment,0
14,4713,62,58.96,2024-04-14,payment,0
15,6190,66,93.27,2024-04-01,transfer,0
16,5857,19,35.82,2024-10-12,transfer,0
17,7293,43,22.57,2024-02-23,payment,0
18,2552,13,482.4,2024-04-16,withdrawal,0
19,3336,29,74.3,2023-12-25,payment,0
20,4583,55,23.45,2024-08-30,payment,0
21,5242,80,50.85,2024-10-06,payment,0
22,3530,6,85.02,2023-03-18,payment,0
23,6598,28,37.48,2023-12-10,withdrawal,0
24,5620,7,191.66,2024-08-13,withdrawal,0
25,3204,13,76.24,2024-01-22,withdrawal,0
26,3971,5,7.64,2023-06-08,transfer,0
27,4141,76,99.38,2024-03-07,payment,0
28,3248,76,21.23,2023-04-07,transfer,1
29,5824,8,170.65,2024-10-18,payment,0
30,56,10,448.15,2023-08-01,withdrawal,0
31,53,93,236.78,2024-02-23,payment,0
32,1541,28,20.74,2024-07-15,payment,0
33,4151,75,105.36,2024-10-25,payment,0
34,3547,2,178.72,2023-03-21,payment,0
35,301,78,299.68,2024-11-29,withdrawal,0
36,5823,49,22.18,2024-12-05,payment,0
37,5740,90,20.4,2023-07-10,withdrawal,0
38,4965,10,108.89,2024-03-23,payment,0
39,1372,87,123.22,2023-09-04,payment,0
40,3544,32,393.09,2023-05-05,withdrawal,0
41,4371,75,31.61,2023-11-22,payment,0
42,7265,37,33.86,2023-11-19,payment,0
43,7314,91,60.02,2023-10-21,payment,0
44,2411,82,93.26,2024-06-09,withdrawal,0
45,2550,99,162.44,2024-02-15,payment,0
46,2190,43,108.75,2024-08-20,withdrawal,0
47,7161,76,22.0,2023-04-16,payment,0
48,3254,40,326.33,2023-08-12,withdrawal,0
49,7293,83,32.53,2024-02-10,payment,0
50,2223,10,48.62,2024-05-22,payment,1
51,3436,44,43.15,2023-09-05,withdrawal,0
52,7100,57,142.55,2024-04-25,withdrawal,0
